PMID,Title
34870926,Molybdenum Cofactor Deficiency
26653176,Molybdenum cofactor deficiency
36296488,Molybdenum Cofactor Deficiency in Humans
35192225,Molybdenum cofactor deficiency: A natural history
21031595,Molybdenum cofactor deficiency: Mutations in GPHN, MOCS1, and MOCS2
38627985,Consensus guidelines for the diagnosis and management of isolated sulfite oxidase deficiency and molybdenum cofactor deficiencies
9590105,Molybdenum cofactor deficiency
38367485,Molybdenum Cofactor Deficiency in the Neonate: Expanding the Phenotype
23122324,Molybdenum cofactor deficiency: review of 12 cases (MoCD and review)
10746556,Genetics of molybdenum cofactor deficiency
38153658,Molybdenum Cofactor Deficiency (MoCD) Masquerading as Stroke-Like Episodes
33548958,Molybdenum cofactor deficiency type B manifested as Leigh-like syndrome: a case report and literature review
8410516,Molybdenum cofactor deficiency
9645039,Molybdenum cofactor deficiency
38244183,Molybdenum Cofactor Deficiency (MoCD) Masquerading as Stroke Like Episodes: Authors' Reply
30108670,Molybdenum cofactor deficiency: Neuroimaging findings
34012852,A neonate with molybdenum cofactor deficiency type B
38240982,Molybdenum Cofactor Deficiency (MoCD) Masquerading as Stroke-Like Episodes: Correspondence
38389347,New Neuroimaging Findings in Patients with Molybdenum Cofactor Deficiency Type A: A Case Report and Literature Review
31201073,The Clinical and Molecular Characteristics of Molybdenum Cofactor Deficiency Due to MOCS2 Mutations
7791952,Molybdenum-cofactor deficiency: CT and MR findings
39695700,Novel pathogenic variant in a mild case of type B molybdenum cofactor deficiency: case report and literature review
9003869,Hypouricemia and molybdenum-cofactor deficiency
12533804,Prenatal diagnosis of molybdenum cofactor deficiency and isolated sulfite oxidase deficiency
33488670,Sulfite Alters the Mitochondrial Network in Molybdenum Cofactor Deficiency
33909276,Fosdenopterin: First Approval
38808412,Late-Onset Molybdenum Cofactor Deficiency Type A: A Treatable Cause of Developmental Delay
39669634,Timing of cerebral damage in molybdenum cofactor deficiency: A meta-analysis of case reports
34337775,Regulatory news: Nulibry (fosdenopterin) approved to reduce the risk of mortality in patients with molybdenum cofactor deficiency type A: FDA approval summary
29274890,Molybdenum cofactor deficiency type A: Prenatal monitoring using MRI
33271615,Asparagine Synthetase Deficiency with Intracranial Hemorrhage Can Mimic Molybdenum Cofactor Deficiency
30900395,Mild phenotype in Molybdenum cofactor deficiency: A new patient and review of the literature
10030363,Diagnosis of molybdenum cofactor deficiency
38463082,A case report of molybdenum cofactor deficiency type A: the first case diagnosed in Syria
34013236,Coexistence of molybdenum cofactor deficiency type A and hypertrophic pyloric stenosis, a new case
8304141,Human molybdenum cofactor deficiency
10030364,Diagnosis of molybdenum cofactor deficiency
32099439,Molybdenum Cofactor Deficiency: Mega Cisterna Magna in Two Consecutive Pregnancies and Review of the Literature
26644055,Child Neurology: Molybdenum cofactor deficiency
38965861,Alternating cerebral edema and arterial dilations in Molybdenum cofactor deficiency type-A
35692435,Ocular characteristics of a 6-year-Old boy with molybdenum cofactor deficiency type B
8976115,Xanthine oxidase deficiency (hereditary xanthinuria), molybdenum cofactor deficiency
33897766,Case Report: Compound Heterozygous Variants in MOCS3 Identified in a Chinese Infant With Molybdenum Cofactor Deficiency
33840416,Molybdenum cofactor deficiency caused by MOCS1 gene mutation: a case report
26343841,Treatments for rare diseases: molybdenum cofactor deficiency
37789894,A milder form of molybdenum cofactor deficiency type A presenting as Leigh's syndrome-like phenotype highlighting the secondary mitochondrial dysfunction: a case report
27041280,Molybdenum cofactor deficiency causes translucent integument, male-biased lethality, and flaccid paralysis in the silkworm Bombyx mori
23392866,Molybdenum cofactor deficiency: metabolic link between taurine and S-sulfocysteine
33502714,Rare cause of xanthinuria: a pediatric case of molybdenum cofactor deficiency B
25709896,Investigation of molybdenum cofactor deficiency due to MOCS2 deficiency in a newborn baby
30810871,Molybdenum cofactor deficiency type B knock-in mouse models carrying patient-identical mutations and their rescue by singular AAV injections
28900816,Critical appraisal of genotype assessment in molybdenum cofactor deficiency
28544736,Molybdenum cofactor deficiency: Identification of a patient with homozygote mutation in the MOCS3 gene
22759696,Molybdenum cofactor deficiency mimics cerebral palsy: differentiating factors for diagnosis
20385644,Successful treatment of molybdenum cofactor deficiency type A with cPMP
32802950,Delineating the phenotypic spectrum of sulfite oxidase and molybdenum cofactor deficiency
28980090,Isolated sulfite oxidase deficiency
19907877,Molybdenum cofactor deficiency in a Malaysian child
12754701,Mutations in the molybdenum cofactor biosynthetic genes MOCS1, MOCS2, and GEPH
38527248,Teaching NeuroImage: A 2-Year-Old Girl With Molybdenum Cofactor Deficiency
12629751,Hereditary xanthinuria and molybdenum cofactor deficiency
29106383,S-sulfocysteine/NMDA receptor-dependent signaling underlies neurodegeneration in molybdenum cofactor deficiency
37371303,A New Pattern of Brain and Cord Gadolinium Enhancement in Molybdenum Cofactor Deficiency: A Case Report
8295412,Molybdenum cofactor deficiency can mimic postanoxic encephalopathy
8355818,Molybdenum-cofactor deficiency: an easily missed cause of neonatal convulsions
27138983,Mouse model for molybdenum cofactor deficiency type B recapitulates the phenotype observed in molybdenum cofactor deficient patients
17065069,A Turkish case with molybdenum cofactor deficiency
39168057,Pharmacodynamic profiling in three patients with molybdenum cofactor deficiency type A reveals prolonged biological effects after withdrawal of cyclic pyranopterin monophosphate
33552910,The effect of dietary protein restriction in a case of molybdenum cofactor deficiency with MOCS1 mutation
12385777,The peak height ratio of S-sulfonated transthyretin and other oxidized isoforms as a marker for molybdenum cofactor deficiency, measured by electrospray ionization mass spectrometry
3219233,Molybdenum cofactor deficiency in a patient previously characterized as deficient in sulfite oxidase
23430915,Molybdenum cofactor deficiency: a new HPLC method for fast quantification of s-sulfocysteine in urine and serum
33446569,Protein-bound molybdenum cofactor is bioavailable and rescues molybdenum cofactor-deficient C. elegans
23436702,Molybdenum cofactor deficiency presenting with a parkinsonism-dystonia syndrome
15115759,Rescue of lethal molybdenum cofactor deficiency by a biosynthetic precursor from Escherichia coli
17158010,Molybdenum cofactor deficiency: clinical features in a Turkish patient
